id,production_location,production_location2,sale_location,sale_location2,types_of_sampling,food_category,adulterant_category,adulterant,food_specifications_model_list,mandate_level,manufacturer_type,sampled_location_type,grade
3787,福建省,漳州市,福建省,漳州市,Same Place,pastry,Microbial contamination,霉菌,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,3
8246,湖南省,岳阳市,湖南省,岳阳市,Same Place,vegetable and vegetable product,Food additive,安赛蜜;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
1938,江苏省,无锡市,江苏省,无锡市,Same Place,meat and meat product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
1944,广东省,中山市,广东省,东莞市,Off-site,meat and meat product,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,wet market,0
5237,湖南省,株洲市,湖南省,株洲市,Same Place,aquatic product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7354,黑龙江省,佳木斯市,黑龙江省,哈尔滨市,Off-site,"edible oil, fat and their product",Environmental contaminant,苯并[a]芘,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
2381,贵州省,遵义市,贵州省,遵义市,Same Place,meat and meat product,Food additive,山梨酸及其钾盐,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
4574,广东省,佛山市,广东省,佛山市,Same Place,pastry,Specification,脂肪,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
1831,江苏省,苏州市,江苏省,苏州市,Same Place,meat and meat product,Microbial contamination,大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,3
444,江苏省,徐州市,江苏省,徐州市,Same Place,cereal and cereal product,Toxin,脱氧雪腐镰刀菌烯醇,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
4764,江苏省,常州市,江苏省,扬州市,Off-site,pastry,Specification,脂肪,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
6731,贵州省,贵阳市,贵州省,贵阳市,Same Place,nut and nut product,Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
4393,黑龙江省,双鸭山市,黑龙江省,双鸭山市,Same Place,pastry,Food additive,脱氢乙酸;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
4615,内蒙古自治区,鄂尔多斯市,内蒙古自治区,鄂尔多斯市,Same Place,pastry,Specification,脂肪,Pre-packaged,Provincially Mandated,restaurant,restaurant,0
78,江苏省,南京市,江苏省,南京市,Same Place,bee product,Microbial contamination,嗜渗酵母,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
1359,湖北省,襄阳市,湖北省,襄阳市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8203,山东省,威海市,山东省,威海市,Same Place,egg and egg product,Environmental contaminant,铅,Bulk weighing,Provincially Mandated,manufacturer,manufacturer,0
5953,贵州省,贵阳市,贵州省,铜仁市,Off-site,condiment,Specification,氨基酸态氮,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
5625,陕西省,渭南市,陕西省,渭南市,Same Place,restaurant food,Food additive,苯甲酸;糖精钠,Bulk weighing,Provincially Mandated,restaurant,restaurant,0
7762,广东省,云浮市,广东省,佛山市,Off-site,fruit and fruit product,Food additive,二氧化硫,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
7502,湖北省,黄冈市,湖北省,黄冈市,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,wholesale market,0
3588,四川省,广元市,湖北省,恩施土家族苗族自治州,Off-site,pastry,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,wholesale market,3
2704,河南省,驻马店市,吉林省,吉林市,Off-site,convenience food,Microbial contamination,大肠菌群,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8463,湖北省,孝感市,湖北省,咸宁市,Off-site,vegetable and vegetable product,Food additive,苯甲酸;甜蜜素,Bulk weighing,Provincially Mandated,manufacturer,cafeteria,0
6201,河南省,郑州市,河南省,平顶山市,Off-site,condiment,Food additive,谷氨酸钠;呈味核苷酸二钠,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
2537,江西省,吉安市,江西省,吉安市,Same Place,meat and meat product,Environmental contaminant,总砷,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
3928,江苏省,镇江市,江苏省,南通市,Off-site,pastry,Food additive,纳他霉素;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,2
8693,吉林省,松原市,吉林省,松原市,Same Place,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,1
7267,安徽省,合肥市,安徽省,合肥市,Same Place,nut and nut product,Specification,过氧化值,Bulk weighing,Provincially Mandated,manufacturer,other supermarket/convenience store,0
1527,四川省,雅安市,四川省,雅安市,Same Place,alcohol,Specification,酒精度,Bulk weighing,Provincially Mandated,wholesale/retail,wholesale/retail,0
1687,安徽省,阜阳市,安徽省,阜阳市,Same Place,confectionery,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
1516,贵州省,遵义市,贵州省,遵义市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
8432,贵州省,遵义市,贵州省,遵义市,Same Place,vegetable and vegetable product,Food additive,苯甲酸;二氧化硫;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,online store,0
5446,甘肃省,武威市,甘肃省,武威市,Same Place,sugar,Specification,色值,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
8090,广东省,潮州市,湖南省,长沙市,Off-site,fruit and fruit product,Environmental contaminant,铅,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
8714,四川省,德阳市,四川省,乐山市,Off-site,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Nationally Mandated,manufacturer,wet market/wholesale market,0
2142,湖南省,常德市,湖南省,常德市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
8576,湖北省,荆州市,湖北省,荆州市,Same Place,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
6179,河南省,开封市,河南省,开封市,Same Place,condiment,Specification,谷氨酸钠,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
